,Date,Place,Title,Band,Open,Start
23,2018-07-27,梅田Zeela,A SONG!!!!A MUSIC!!!!A LIVE!!!!,"['ソウルズ', 'insomnia girl', 'FIRE ARROW', 'ダブディフォー', 'HORIZIC']",18:00:00,18:30:00
24,2018-07-28,梅田Zeela,LEO×CIMBA×Lugz&Jera 3MAN LIVE TOUR『Pink Lemonade Tour』,"['LEO', 'CIMBA', 'Lugz&Jera', 'AREA GUEST：真之介', 'OPENING ACT：mëme、Syamu']",17:00:00,17:30:00
25,2018-07-29,梅田Zeela,「イナズマゲート2018」,"['See Stadts', 'SEKIRARA', 'ソウルズ', 'ネノコクランク', 'FastingKillsAMIMADDO', 'FiSHBORN', 'meh meh white sheeps', 'Lahaha', '【MC】絶対的7%']",15:00:00,15:30:00
26,2018-07-30,梅田Zeela,梅田Zeela presents 「HAPPY MONDAY!!」,"['[DJ] MOTTY(梅田Zeela)', '変態理科の先生(梅田Zeela)', '名ブッカー鬼ヅッカー(梅田Zeela)', 'ジャガー西宮(fr.Amagasaki)', '$HOTA＠My Generation!', 'こけし', ' LINA', 'LtoZ', ' ゆりぬ', 'やまだあゆみ', 'Miya-z(memento森)', 'もすこ', '[飲ませたガール] ピーチ(梅田Zeela)']",20:00:00,20:00:00
27,2018-07-31,梅田Zeela,"CHASED BY GHOST OF HYDEPARK pre.[HUNTING GROUND -Phase1.5 Converge-] 2nd Single ""FEAR"" Release Tour","['CHASED BY GHOST OF HYDEPARK', 'SOUNDWITCH', 'RIGEL', '82回目の終身刑', 'HUL OVER', 'Cloud Empty']",17:30:00,18:00:00
0,2018-08-01,梅田Zeela,BREAK THE ZEELA vol.2,"['Re:Answer', 'EPIC MONSTER', 'dead endの向こう側', 'No Time']",18:00:00,18:30:00
1,2018-08-02,梅田Zeela,岩星×ゆか×けん企画,"['switch of gap', 'ねぇ？ミルチョ', '野田とフレンズ', 'めいみょん', '日大TACKLEGARDEN', 'BOOWZ', '\r\nOTOPY AND KENJY', 'おいしいパン', '藤井と友達になりたい方は前方へお集まりください', 'ゆかぶーん']",13:30:00,13:45:00
2,2018-08-03,梅田Zeela,DracoVirgo 2nd LIVE TOUR,['DracoVirgo'],18:30:00,19:00:00
3,2018-08-04,梅田Zeela,"嘉寿-YoshI-×BASS ON TOP梅田店ＰＲＥＳＥＮＴＳ
「天Zeela祭～2018夏の陣～」","['嘉寿-YoshI-', 'kottely crue', 'クルクルcrue', 'Panda Spike', '雨のちキャンディ', 'callslow', 'ZERØ GRAVITY', 'Ka:y@']",14:30:00,15:00:00
4,2018-08-05,梅田Zeela,BASS ON TOP 大阪梅田店 Presents ウメダコネクション Vol.44,"['GRAVE', 'LANSKY', 'ONYX', 'Chain Disaster', 'RED FRACTION', 'The member of the ビール党', 'よほほ', 'TOGANO BOYS']",15:30:00,16:00:00
